Title,Author Last Name,Author First Nem,Main Genre,Sub-Genre,Read (Y/N),Date Started,Date Completed,Number of Times Read,Cover Value,Price Paid,Year Purchased,Year Read,Purchase Location,Store Name
How Jesus Became God ,Ehrman,Bart,Religion,Atheism,Y,17-Jan,17-Jan,1,$15.99 ,$15.99 ,2016,,Atlanta,
Start Your Own Business,Entrepreneur,Entrepreneur,Business,Entrepreneurship,N,,,,$24.95 ,$24.95 ,2016,,Atlanta,
Write Your Business Plan,Entrepreneur,Press,Business,Writing,N,,,,$24.95 ,$24.95 ,2016,,Atlanta,
Encheiridion,Epictetus,Epictetus,Philosophy,Roman,Y,13-Jan,13-Jan,1,$4.95 ,$4.95 ,2013,,Kennesaw,
The Boy Chrisis,Farrell ,Warren,Politics,Current Events,N,,,,,,,,,
The Federalist,Fathers,Founding,Essays,American,N,,,,$10.00 ,$10.00 ,2017,,Atlanta,
The Sound and the Fury,Faulkner,William,Fiction ,American,N,,,,,,,,,
Six Easy Pieces,Feynman,Richard,Science,Science - Physics,N,,,,$13.99 ,$13.99 ,2010,,Kennesaw,
Surely You're Joking Mr. Feynman,Feynman,Richard,Science,Physics,N,,,,,,,,,
Capitalism and Freedom,Fiedman,Milton,Business,Economics,N,,,,,,,,,
Here I am ,Foer,Jonathan Safran,Fiction,American,N,,,,$30.00 ,$30.00 ,2017,,Atlanta,
The Pillars of the Earth,Follett,Ken,Fiction,American,Y,17-Sep,17-Nov,1,$19.99 ,$29.98 ,2017,,Boulder,
World Without End,Follett,Ken,Fiction,American,N,17-Nov,,,$9.99 ,$9.99 ,2017,,Denver,
A Column of Fire,Follett,Ken,Fiction,American,N,,,,$36.00 ,$21.60 ,2017,,Atlanta,
Forbes Book of Quotes,Forbes,Magazine,Business,Quotes,N,,,,$24.99 ,$24.99 ,2016,,Alpharetta,
Jesus Before the Gospels,Ehrman,Ehrman,Religion,Atheism,N,,,,$27.99 ,$27.99 ,2016,,Atlanta,
The Books of Enoch,Enoch,Enoch,Religion,Scriptures,Y,15-Jan,15-Jan,1,$20.00 ,$20.00 ,2015,,Amazon,
In the Beginning: The True Message of the Genesis Origin Stories,Farley,Lawrence,Religion,,,,,,,,,,,
Man's Search for Meaning,Frankl,Viktor,Philosophy,Austrian,Y,,,1,$9.24 ,$9.24 ,2009,,Canton,
Celebration of Discipline,Foster,Richard,Religion,Protestantism,N,,,,$25.99 ,$25.99 ,2015,,Atlanta,
Sophie's World,Gaarder,Jostein,Philosophy,Norwegian,Y,10-Jan,10-Jan,1,$12.00 ,$12.00 ,2010,,Amazon,
O Mundo De Sofia,Gaarder,Jostein,Fiction,Norwegian,N,,,,$20.00 ,$20.00 ,2017,,Natal,
